Diện tích sử dụng,Diện tích đất,Mã BĐS,Ngày đăng,Nhà tắm,Pháp lý,Phòng ngủ,address,loai_hinh,mo_gioi_link,mo_gioi_phone,mo_gioi_ten,price,title,url
450 m2,70 m2,22708468,03/10/2025,8,Sổ đỏ,4,"Lâm Hạ, Phường Bồ Đề, Quận Long Biên, Hà Nội",Mua bán nhà đất,https://mogi.vn,0987151746,Gửi tin nhắn,28 tỷ,"Bán Nhà mặt tiền, phố Lâm Hạ",https://mogi.vn/quan-long-bien/mua-nha-mat-tien-pho/ban-nha-pho-lam-ha-70m2-mat-tien-dep-7t-o-to-thang-may-noi-that-id22708468
560 m2,80 m2,22707790,03/10/2025,8,Sổ đỏ,4,"Nguyễn Văn Cừ, Phường Ngọc Lâm, Quận Long Biên, Hà Nội",Mua bán nhà đất,https://mogi.vn,0987151746,Gửi tin nhắn,27 tỷ 500 triệu,"Bán Nhà mặt tiền, phố Nguyễn Văn Cừ",https://mogi.vn/quan-long-bien/mua-nha-mat-tien-pho/ban-nha-pho-nguyen-van-cu-80m-7-tang-o-to-noi-that-ngo-thong-id22707790
120 m2,30 m2,22707380,03/10/2025,3,Sổ đỏ,3,"Nguyễn Văn Cừ, Phường Ngọc Lâm, Quận Long Biên, Hà Nội",Mua bán nhà đất,https://mogi.vn,0987151746,Gửi tin nhắn,6 tỷ 800 triệu,"Bán Nhà hẻm, ngõ Nguyễn Văn Cừ",https://mogi.vn/quan-long-bien/mua-nha-hem-ngo/ban-nha-pho-nguyen-van-cu-30m-4-tang-gia-h-iem-o-to-ngo-thong-id22707380
135 m2,52 m2,22707717,03/10/2025,3,Sổ đỏ,3,"Thượng Thanh, Phường Thượng Thanh, Quận Long Biên, Hà Nội",Mua bán nhà đất,https://mogi.vn,0987151746,Gửi tin nhắn,5 tỷ 900 triệu,"Bán Nhà hẻm, ngõ Thượng Thanh",https://mogi.vn/quan-long-bien/mua-nha-hem-ngo/ban-nha-dan-xay-pho-thuong-thanh-52m2-gia-chi-5-9-ty-gan-o-to-id22707717
75 m2,75 m2,22707195,03/10/2025,,Sổ đỏ,,"Lý Sơn, Phường Ngọc Thụy, Quận Long Biên, Hà Nội",Mua bán nhà đất,https://mogi.vn,0987151746,Gửi tin nhắn,11 tỷ,Bán Đất thổ cư Lý Sơn,https://mogi.vn/quan-long-bien/mua-dat-tho-cu/ban-dat-pho-ly-son-long-bien-75m-1-nha-ra-mat-pho-o-to-vao-dat-id22707195
30 m2,30 m2(4x8),22707194,03/10/2025,,Sổ đỏ,,"Ngọc Lâm, Phường Ngọc Lâm, Quận Long Biên, Hà Nội",Mua bán nhà đất,https://mogi.vn,0987151746,Gửi tin nhắn,5 tỷ 500 triệu,Bán Đất thổ cư Ngọc Lâm,https://mogi.vn/quan-long-bien/mua-dat-tho-cu/ban-dat-pho-ngoc-lam-30m2-5-5-ty-gan-o-to-gan-truong-nguyen-gia-th-id22707194
120 m2,35 m2(4x9),22707192,03/10/2025,3,Sổ đỏ,3,"Phú Viên, Phường Bồ Đề, Quận Long Biên, Hà Nội",Mua bán nhà đất,https://mogi.vn,0987151746,Gửi tin nhắn,9 tỷ,"Bán Nhà mặt tiền, phố Phú Viên",https://mogi.vn/quan-long-bien/mua-nha-mat-tien-pho/gan-cau-chuong-duong-nha-phu-vien-35m-4-tang-hon-9-t-y-o-to-tranh-id22707192
600 m2,168 m2(6x27),22706710,03/10/2025,8,Sổ đỏ,4,"Hồng Tiến, Phường Bồ Đề, Quận Long Biên, Hà Nội",Mua bán nhà đất,https://mogi.vn,0987151746,Gửi tin nhắn,39 tỷ,"Bán Nhà mặt tiền, phố Hồng Tiến",https://mogi.vn/quan-long-bien/mua-nha-mat-tien-pho/ban-nha-pho-hong-tien-168m2-6-tang-mt6m-ngo-o-to-thong-ban-co-id22706710
210 m2,"35 m2(4,5x7)",22706696,03/10/2025,5,Sổ đỏ,3,"Thượng Thanh, Phường Thượng Thanh, Quận Long Biên, Hà Nội",Mua bán nhà đất,https://mogi.vn,0987151746,Gửi tin nhắn,8 tỷ 500 triệu,"Bán Nhà hẻm, ngõ Thượng Thanh",https://mogi.vn/quan-long-bien/mua-nha-hem-ngo/ban-nha-pho-thuong-thanh-35m2-6-tang-4-phong-ngu-thang-may-gan-oto-id22706696
120 m2,120 m2,22705714,03/10/2025,,Sổ đỏ,,"Mai Phúc, Phường Phúc Đồng, Quận Long Biên, Hà Nội",Mua bán nhà đất,https://mogi.vn,0987151746,Gửi tin nhắn,25 tỷ,Bán Đất thổ cư Mai Phúc,https://mogi.vn/quan-long-bien/mua-dat-tho-cu/ban-dat-mat-pho-mai-phuc-120m2-mt4-5m-25-ty-via-he-kinh-doanh-id22705714
120 m2,30 m2,22706672,03/10/2025,3,Sổ đỏ,3,"Hoa Lâm, Phường Việt Hưng, Quận Long Biên, Hà Nội",Mua bán nhà đất,https://mogi.vn,0987151746,Gửi tin nhắn,6 tỷ 400 triệu,"Bán Nhà hẻm, ngõ Hoa Lâm",https://mogi.vn/quan-long-bien/mua-nha-hem-ngo/nha-dep-hang-xom-pho-viet-hung-chi-hon-6-ty-o-to-do-tan-cong-id22706672
54 m2,54 m2,22705764,03/10/2025,,Sổ đỏ,,"Bắc Biên, Phường Ngọc Thụy, Quận Long Biên, Hà Nội",Mua bán nhà đất,https://mogi.vn,0987151746,Gửi tin nhắn,4 tỷ 850 triệu,Bán Đất thổ cư Bắc Biên,https://mogi.vn/quan-long-bien/mua-dat-tho-cu/ban-dat-pho-bac-bien-ngoc-thuy-54m2-tang-gpxd-4-tang-1-tum-id22705764
156 m2,32 m2(4x8),22705384,03/10/2025,4,Sổ đỏ,3,"Đức Giang, Phường Đức Giang, Quận Long Biên, Hà Nội",Mua bán nhà đất,https://mogi.vn,0987151746,Gửi tin nhắn,5 tỷ 750 triệu,"Bán Nhà hẻm, ngõ Đức Giang",https://mogi.vn/quan-long-bien/mua-nha-hem-ngo/ban-nha-pho-duc-giang-32m2-5-tang-3-phong-ngu-5-75-ty-o-to-do-cua-id22705384
70 m2,25 m2,22710421,03/10/2025,2,Sổ đỏ,2,"Ngọc Lâm, Phường Ngọc Lâm, Quận Long Biên, Hà Nội",Mua bán nhà đất,https://mogi.vn,0987151746,Gửi tin nhắn,4 tỷ 600 triệu,"Bán Nhà hẻm, ngõ Ngọc Lâm",https://mogi.vn/quan-long-bien/mua-nha-hem-ngo/ban-nha-pho-ngoc-lam-25m2-3t-gan-o-to-gan-truong-nguyen-gia-thieu-id22710421
200 m2,50 m2,22710422,03/10/2025,4,Sổ đỏ,3,"Nguyễn Văn Linh, Phường Phúc Đồng, Quận Long Biên, Hà Nội",Mua bán nhà đất,https://mogi.vn,0987151746,Gửi tin nhắn,15 tỷ 500 triệu,"Bán Nhà mặt tiền, phố Nguyễn Văn Linh",https://mogi.vn/quan-long-bien/mua-nha-mat-tien-pho/mat-pho-nguyen-van-linh-50m2-4t-doan-trung-tam-pho-so-vuong-dep-id22710422
270 m2,"45 m2(4,1x11)",22710502,03/10/2025,5,Sổ đỏ,4,"Nguyễn Văn Linh, Phường Phúc Đồng, Quận Long Biên, Hà Nội",Mua bán nhà đất,https://mogi.vn,0987151746,Gửi tin nhắn,10 tỷ,"Bán Nhà hẻm, ngõ Nguyễn Văn Linh",https://mogi.vn/quan-long-bien/mua-nha-hem-ngo/nha-dep-pho-nguyen-van-linh-45m2-6t-hon-10ty-gara-o-to-thang-may-id22710502
140 m2,"35 m2(4x8,5)",22710504,03/10/2025,3,Sổ đỏ,3,"Nguyễn Văn Linh, Phường Phúc Đồng, Quận Long Biên, Hà Nội",Mua bán nhà đất,https://mogi.vn,0987151746,Gửi tin nhắn,6 tỷ 200 triệu,"Bán Nhà hẻm, ngõ Nguyễn Văn Linh",https://mogi.vn/quan-long-bien/mua-nha-hem-ngo/nha-pho-nguyen-van-linh-33m2-4t-mt4m-hon-6-t-y-lo-goc-dan-xay-id22710504
380 m2,95 m2(6x16),22710262,03/10/2025,6,Sổ đỏ,5,"Đức Giang, Phường Đức Giang, Quận Long Biên, Hà Nội",Mua bán nhà đất,https://mogi.vn,0987151746,Gửi tin nhắn,18 tỷ,"Bán Nhà mặt tiền, phố Đức Giang",https://mogi.vn/quan-long-bien/mua-nha-mat-tien-pho/pho-duc-giang-nha-dep-nhu-ks-5-sao-95m2-4t-mat-tien-6m-thang-may-o-to-id22710262
330 m2,55 m2,22710415,03/10/2025,5,Sổ đỏ,4,"Ngọc Lâm, Phường Ngọc Lâm, Quận Long Biên, Hà Nội",Mua bán nhà đất,https://mogi.vn,0987151746,Gửi tin nhắn,16 tỷ,"Bán Nhà hẻm, ngõ Ngọc Lâm",https://mogi.vn/quan-long-bien/mua-nha-hem-ngo/ban-nha-pho-ngoc-lam-55m2-6t-16-ty-hon-o-to-thang-may-noi-that-id22710415
200 m2,"35 m2(4,8x7)",22710417,03/10/2025,5,Sổ đỏ,3,"Ngọc Lâm, Phường Ngọc Lâm, Quận Long Biên, Hà Nội",Mua bán nhà đất,https://mogi.vn,0987151746,Gửi tin nhắn,12 tỷ,"Bán Nhà hẻm, ngõ Ngọc Lâm",https://mogi.vn/quan-long-bien/mua-nha-hem-ngo/nha-pho-ngoc-lam-35m2-6t-thang-may-noi-that-gan-cau-chuong-duong-id22710417
200 m2,53 m2(5x11),22710419,03/10/2025,3,Sổ đỏ,4,"Ngọc Lâm, Phường Ngọc Lâm, Quận Long Biên, Hà Nội",Mua bán nhà đất,https://mogi.vn,0987151746,Gửi tin nhắn,11 tỷ 900 triệu,"Bán Nhà hẻm, ngõ Ngọc Lâm",https://mogi.vn/quan-long-bien/mua-nha-hem-ngo/ban-nha-pho-ngoc-lam-53m2-mt5m-4-tang-o-to-gan-cau-chuong-duong-id22710419
140 m2,70 m2,22710083,03/10/2025,3,Sổ đỏ,3,"Ngọc Lâm, Phường Ngọc Lâm, Quận Long Biên, Hà Nội",Mua bán nhà đất,https://mogi.vn,0987151746,Gửi tin nhắn,18 tỷ,"Bán Nhà mặt tiền, phố Ngọc Lâm",https://mogi.vn/quan-long-bien/mua-nha-mat-tien-pho/mat-pho-ngoc-lam-trung-tam-quan-long-bien-nha-70m2-kinh-doanh-sam-uat-id22710083
180 m2,"30 m2(4,8x7)",22709524,03/10/2025,5,Sổ đỏ,3,"Nguyễn Văn Linh, Phường Phúc Đồng, Quận Long Biên, Hà Nội",Mua bán nhà đất,https://mogi.vn,0987151746,Gửi tin nhắn,6 tỷ,"Bán Nhà hẻm, ngõ Nguyễn Văn Linh",https://mogi.vn/quan-long-bien/mua-nha-hem-ngo/nha-dep-nguyen-van-linh-30m2-6t-nhinh-6-ty-gan-hang-xom-nguyen-lam-id22709524
300 m2,"75 m2(5,2x13)",22708808,03/10/2025,5,Sổ đỏ,4,"Thanh Am, Phường Thượng Thanh, Quận Long Biên, Hà Nội",Mua bán nhà đất,https://mogi.vn,0987151746,Gửi tin nhắn,16 tỷ,"Bán Nhà mặt tiền, phố Thanh Am",https://mogi.vn/quan-long-bien/mua-nha-mat-tien-pho/ban-nha-mat-tien-pho-thanh-am-75m2-mt5-2-phan-lo-via-he-kinh-doanh-id22708808
240 m2,"37 m2(4,7x8)",22708938,03/10/2025,5,Sổ đỏ,3,"Hồng Tiến, Phường Bồ Đề, Quận Long Biên, Hà Nội",Mua bán nhà đất,https://mogi.vn,0987151746,Gửi tin nhắn,10 tỷ 900 triệu,"Bán Nhà hẻm, ngõ Hồng Tiến",https://mogi.vn/quan-long-bien/mua-nha-hem-ngo/nha-dep-long-lanh-pho-hong-tien-37m2-6-tang-o-to-thang-may-gia-tot-id22708938
70 m2,70 m2,22708764,03/10/2025,,Sổ đỏ,,"Đức Giang, Phường Đức Giang, Quận Long Biên, Hà Nội",Mua bán nhà đất,https://mogi.vn,0987151746,Gửi tin nhắn,6 tỷ 700 triệu,Bán Đất thổ cư Đức Giang,https://mogi.vn/quan-long-bien/mua-dat-tho-cu/ban-dat-pho-duc-giang-70m2-gia-h-iem-6-7ty-o-to-7-cho-do-cong-thong-id22708764
75 m2,"25 m2(4,2x6)",22707968,03/10/2025,2,Hợp đồng mua bán,2,"Nguyễn Văn Cừ, Phường Gia Thụy, Quận Long Biên, Hà Nội",Mua bán nhà đất,https://mogi.vn,0987151746,Gửi tin nhắn,2 tỷ 350 triệu,"Bán Nhà hẻm, ngõ Nguyễn Văn Cừ",https://mogi.vn/quan-long-bien/mua-nha-hem-ngo/pho-nguyen-van-cu-phan-khuc-hiem-nha-o-ngay-3-tang-chi-hon-2-t-y-id22707968
360 m2,60 m2(4x15),22708115,03/10/2025,6,Sổ đỏ,4,"Hoàng Như Tiếp, Phường Bồ Đề, Quận Long Biên, Hà Nội",Mua bán nhà đất,https://mogi.vn,0987151746,Gửi tin nhắn,21 tỷ,"Bán Nhà mặt tiền, phố Hoàng Như Tiếp",https://mogi.vn/quan-long-bien/mua-nha-mat-tien-pho/ban-nha-pho-hoang-nhu-tiep-60m2-6t-gara-o-to-thang-may-noi-that-id22708115
100 m2,"50 m2(5,5x9)",22708762,03/10/2025,2,Sổ đỏ,2,"Đức Giang, Phường Đức Giang, Quận Long Biên, Hà Nội",Mua bán nhà đất,https://mogi.vn,0987151746,Gửi tin nhắn,5 tỷ 500 triệu,"Bán Nhà hẻm, ngõ Đức Giang",https://mogi.vn/quan-long-bien/mua-nha-hem-ngo/ban-nha-pho-duc-giang-50m2-2-tang-5-5-ty-dan-xay-o-to-7-cho-do-cong-id22708762
150 m2,"30 m2(3,5x9)",22706695,03/10/2025,4,Sổ đỏ,3,"Thượng Thanh, Phường Thượng Thanh, Quận Long Biên, Hà Nội",Mua bán nhà đất,https://mogi.vn,0987151746,Gửi tin nhắn,5 tỷ 900 triệu,"Bán Nhà hẻm, ngõ Thượng Thanh",https://mogi.vn/quan-long-bien/mua-nha-hem-ngo/ban-nha-pho-thuong-thanh-30m2-5-tang-3-phong-ngu-noi-that-gan-o-to-id22706695
150 m2,"30 m2(4,5x7)",22706675,03/10/2025,4,Sổ đỏ,3,"Hoa Lâm, Phường Việt Hưng, Quận Long Biên, Hà Nội",Mua bán nhà đất,https://mogi.vn,0987151746,Gửi tin nhắn,6 tỷ 900 triệu,"Bán Nhà hẻm, ngõ Hoa Lâm",https://mogi.vn/quan-long-bien/mua-nha-hem-ngo/nha-dep-pho-hoa-lam-5-tang-dan-xay-chac-chan-ngo-nong-noi-that-id22706675
65 m2,21 m2,22706505,03/10/2025,2,Sổ đỏ,2,"Ngọc Lâm, Phường Ngọc Lâm, Quận Long Biên, Hà Nội",Mua bán nhà đất,https://mogi.vn,0987151746,Gửi tin nhắn,8 tỷ,"Bán Nhà mặt tiền, phố Ngọc Lâm",https://mogi.vn/quan-long-bien/mua-nha-mat-tien-pho/hon-8-ty-co-ngay-nha-mat-pho-ngoc-lam-kinh-doanh-sam-uat-lo-goc-id22706505
132 m2,44 m2,22705875,03/10/2025,3,Sổ đỏ,3,"Hoa Lâm, Phường Bồ Đề, Quận Long Biên, Hà Nội",Mua bán nhà đất,https://mogi.vn,0987151746,Gửi tin nhắn,5 tỷ 900 triệu,"Bán Nhà hẻm, ngõ Hoa Lâm",https://mogi.vn/quan-long-bien/mua-nha-hem-ngo/nha-o-cach-45m2-3-tang-3-phong-ngu-5-9-ty-gan-benh-vien-duc-giang-id22705875
200 m2,42 m2,22705872,03/10/2025,4,Sổ đỏ,3,"Hoa Lâm, Phường Việt Hưng, Quận Long Biên, Hà Nội",Mua bán nhà đất,https://mogi.vn,0987151746,Gửi tin nhắn,11 tỷ,"Bán Nhà hẻm, ngõ Hoa Lâm",https://mogi.vn/quan-long-bien/mua-nha-hem-ngo/nha-pho-hoa-lam-42m2-5-tang-mt5-11-ty-truoc-nha-o-to-tranh-id22705872
200 m2,200 m2(8x25),22710307,03/10/2025,,Sổ đỏ,,"Đại lộ Thăng Long, Xã Thạch Hòa, Huyện Thạch Thất, Hà Nội",Mua bán nhà đất,https://mogi.vn/moi-gioi/0977735985-nguyen-thi-quynh-uid12248584,0977735985,Nguyễn Thị Quỳnh,20 tỷ,Bán Đất thổ cư Khu Công Nghệ Cao Hòa Lạc,https://mogi.vn/huyen-thach-that/mua-dat-tho-cu/ban-dat-dt-200m2-so-do-phap-ly-ro-rang-khu-tdc-phu-cat-thach-hoa-id22710307
54 m2,55 m2,22710536,03/10/2025,4,Sổ đỏ,4,"Hàng Nón, Phường Hàng Gai, Quận Hoàn Kiếm, Hà Nội",Mua bán nhà đất,https://mogi.vn/moi-gioi/0919699866-nguyen-manh-uid12197893,0919699866,Nguyễn Mạnh,36 tỷ 600 triệu,"Bán Nhà mặt tiền, phố Hàng Nón",https://mogi.vn/quan-hoan-kiem/mua-nha-mat-tien-pho/mat-pho-vip-hoan-kiem-loi-pho-co-via-he-rong-kinh-doanh-dinh-cao-id22710536
91 m2,91 m2,22710542,03/10/2025,16,Sổ đỏ,16,"Trường Chinh, Phường Khương Mai, Quận Thanh Xuân, Hà Nội",Mua bán nhà đất,https://mogi.vn/moi-gioi/0919699866-nguyen-manh-uid12197893,0919699866,Nguyễn Mạnh,29 tỷ 899 triệu,"Bán Nhà mặt tiền, phố Trường Chinh",https://mogi.vn/quan-thanh-xuan/mua-nha-mat-tien-pho/ccmn-truong-chinh-7-tang-thang-may-full-16-phong-cho-thue-dong-tien-id22710542
79 m2,80 m2,22710538,03/10/2025,7,Sổ đỏ,14,"Thanh Yên, Phường Phúc Tân, Quận Hoàn Kiếm, Hà Nội",Mua bán nhà đất,https://mogi.vn/moi-gioi/0919699866-nguyen-manh-uid12197893,0919699866,Nguyễn Mạnh,30 tỷ,"Bán Nhà mặt tiền, phố Thanh Yên",https://mogi.vn/quan-hoan-kiem/mua-nha-mat-tien-pho/ban-gap-nha-hoan-kiem-vi-tri-vang-o-to-tranh-kinh-doanh-moi-loai-h-id22710538
49 m2,45 m2,22710541,03/10/2025,4,Sổ đỏ,5,"Nguyễn Thái Học, Phường Cửa Nam, Quận Hoàn Kiếm, Hà Nội",Mua bán nhà đất,https://mogi.vn/moi-gioi/0919699866-nguyen-manh-uid12197893,0919699866,Nguyễn Mạnh,31 tỷ 999 triệu,"Bán Nhà mặt tiền, phố Nguyễn Thái Học",https://mogi.vn/quan-hoan-kiem/mua-nha-mat-tien-pho/ban-nha-mat-pho-co-nguyen-thai-hoc-thang-may-vua-o-vua-kinh-doanh-id22710541
880 m2,110 m2,22708953,03/10/2025,22,Sổ hồng,22,"Đội Cấn, Phường Đội Cấn, Quận Ba Đình, Hà Nội",Mua bán nhà đất,https://mogi.vn,0962298868,Gửi tin nhắn,32 tỷ,"Bán Nhà hẻm, ngõ Đội Cấn",https://mogi.vn/quan-ba-dinh/mua-nha-hem-ngo/chinh-chu-ban-toa-nha-chung-cu-mini-trung-tam-quan-ba-dinh-id22708953
90 m2,90 m2(5x19),22710584,03/10/2025,,Sổ đỏ,,"Ngọc Thụy, Phường Ngọc Thụy, Quận Long Biên, Hà Nội",Mua bán nhà đất,https://mogi.vn,0987151746,Gửi tin nhắn,9 tỷ,Bán Đất thổ cư Ngọc Thụy,https://mogi.vn/quan-long-bien/mua-dat-tho-cu/ban-dat-pho-ngoc-thuy-90m2-mat-tien5m-o-to-tranh-gan-cau-long-bien-id22710584
360 m2,65 m2,22710579,03/10/2025,5,Sổ đỏ,4,"Nguyễn Văn Linh, Phường Phúc Đồng, Quận Long Biên, Hà Nội",Mua bán nhà đất,https://mogi.vn,0987151746,Gửi tin nhắn,12 tỷ,"Bán Nhà hẻm, ngõ Nguyễn Văn Linh",https://mogi.vn/quan-long-bien/mua-nha-hem-ngo/nha-dep-p-nguyen-van-linh-65m2-6t-gara-o-to-thang-may-ngo-rong-id22710579
55 m2,55 m2,22710585,03/10/2025,,Sổ đỏ,,"Ngọc Thụy, Phường Ngọc Thụy, Quận Long Biên, Hà Nội",Mua bán nhà đất,https://mogi.vn,0987151746,Gửi tin nhắn,5 tỷ 500 triệu,Bán Đất thổ cư Ngọc Thụy,https://mogi.vn/quan-long-bien/mua-dat-tho-cu/ban-dat-pho-ngoc-thuy-55m2-tang-gpxd-4-tang-1-tum-gan-cau-long-bien-id22710585
88 m2,88 m2(1x18),22710530,03/10/2025,17,Sổ đỏ,17,"ĐT419, Xã Tân Xã, Huyện Thạch Thất, Hà Nội",Mua bán nhà đất,https://mogi.vn/moi-gioi/0977735985-nguyen-thi-quynh-uid12248584,0977735985,Nguyễn Thị Quỳnh,85 tỷ,Bán Nhà đường nội bộ ĐT419,https://mogi.vn/huyen-thach-that/mua-duong-noi-bo/ban-nha-dat-tai-tan-xa-dt-88m2-san-17-phong-tro-cho-thue-so-do-phap-id22710530
,103 m2(6x18),22710378,02/10/2025,9,Sổ đỏ,7,"Nguyễn Ngọc Nại, Phường Khương Mai, Quận Thanh Xuân, Hà Nội",Mua bán nhà đất,https://mogi.vn/moi-gioi/0399032122-nguyen-mai-uid12076467,0399032122,nguyễn mai,58 tỷ,"Bán Nhà mặt tiền, phố Nguyễn Ngọc Nại",https://mogi.vn/quan-thanh-xuan/mua-nha-mat-tien-pho/ban-toa-nha-van-phong-9-tang-dau-tu-sinh-loi-cao-tai-quan-thanh-xuan-id22710378
176 m2,176 m2(30x5),22710376,02/10/2025,5,Sổ đỏ,6,"Việt Hưng, Phường Việt Hưng, Quận Long Biên, Hà Nội",Mua bán nhà đất,https://mogi.vn/moi-gioi/0399032122-nguyen-mai-uid12076467,0399032122,nguyễn mai,61 tỷ,"Bán Biệt thự, liền kề Vinhomes Riverside Long Biên",https://mogi.vn/quan-long-bien/mua-nha-biet-thu-lien-ke/ban-biet-thu-cao-cap-khu-do-thi-vinhome-riverside-long-bien-ha-noi-id22710376
25 m2,,22710292,02/10/2025,1,Hợp đồng mua bán,1,"Phố 8 Tháng 3, Phường Quỳnh Mai, Quận Hai Bà Trưng, Hà Nội",Mua bán nhà đất,https://mogi.vn,0917255166,Gửi tin nhắn,1 tỷ 100 triệu,"Bán Căn hộ tập thể, cư xá Phố 8 Tháng 3",https://mogi.vn/quan-hai-ba-trung/mua-can-ho-tap-the-cu-xa/chinh-chu-ban-gap-can-penhouse-tt-8-3-view-dep-trieu-do-id22710292
25 m2,"23 m2(8x3,5)",22706033,02/10/2025,1,Hợp đồng mua bán,1,"Phố 8 Tháng 3, Phường Quỳnh Mai, Quận Hai Bà Trưng, Hà Nội",Mua bán nhà đất,https://mogi.vn,0917255166,Gửi tin nhắn,1 tỷ 100 triệu,Bán Nhà đường nội bộ Phố 8 Tháng 3,https://mogi.vn/quan-hai-ba-trung/mua-duong-noi-bo/ban-gap-can-penhouse-tt-8-3-phan-khuc-hiem-vi-tri-dep-id22706033
108 m2,"75,4 m2",22710344,02/10/2025,6,Sổ đỏ,6,"Tôn Đức Thắng, Phường Văn Miếu, Quận Đống Đa, Hà Nội",Mua bán nhà đất,https://mogi.vn/moi-gioi/0919699866-nguyen-manh-uid12197893,0919699866,Nguyễn Mạnh,37 tỷ 500 triệu,"Bán Nhà mặt tiền, phố Tôn Đức Thắng",https://mogi.vn/quan-dong-da/mua-nha-mat-tien-pho/nha-mat-pho-tt-dong-da-ton-duc-thang-8-tang-thang-may-id22710344
90 m2,90 m2,22710348,02/10/2025,5,Sổ đỏ,6,"Quảng An, Phường Thụy Khuê, Quận Tây Hồ, Hà Nội",Mua bán nhà đất,https://mogi.vn/moi-gioi/0919699866-nguyen-manh-uid12197893,0919699866,Nguyễn Mạnh,25 tỷ,"Bán Nhà mặt tiền, phố Quảng An",https://mogi.vn/quan-tay-ho/mua-nha-mat-tien-pho/ban-nha-2-mat-pho-thuy-khue-vi-tri-cuc-dep-kinh-doanh-dinh-id22710348
60 m2,60 m2,22710343,02/10/2025,4,Sổ đỏ,6,"Tây Hồ, Phường Quảng An, Quận Tây Hồ, Hà Nội",Mua bán nhà đất,https://mogi.vn/moi-gioi/0919699866-nguyen-manh-uid12197893,0919699866,Nguyễn Mạnh,21 tỷ 300 triệu,"Bán Nhà mặt tiền, phố Tây Hồ",https://mogi.vn/quan-tay-ho/mua-nha-mat-tien-pho/chinh-chu-ban-gap-nha-mat-pho-tt-tay-ho-o-to-do-cua-id22710343
85 m2,85 m2,22710346,02/10/2025,4,Sổ đỏ,4,"Chùa Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội",Mua bán nhà đất,https://mogi.vn/moi-gioi/0919699866-nguyen-manh-uid12197893,0919699866,Nguyễn Mạnh,25 tỷ 500 triệu,"Bán Nhà mặt tiền, phố Chùa Láng",https://mogi.vn/quan-dong-da/mua-nha-mat-tien-pho/ban-nha-mat-pho-chua-lang-lo-goc-kinh-doanh-dinh-pho-sinh-vien-id22710346
200 m2,"45 m2(4,5x10)",22706725,01/10/2025,5,Sổ đỏ,3,"Bồ Đề, Phường Bồ Đề, Quận Long Biên, Hà Nội",Mua bán nhà đất,https://mogi.vn,0987151746,Gửi tin nhắn,12 tỷ 800 triệu,"Bán Nhà hẻm, ngõ Bồ Đề",https://mogi.vn/quan-long-bien/mua-nha-hem-ngo/ban-nha-pho-bo-de-45m2-5-tang-mat-tien-dep-gara-o-to-thang-may-id22706725
180 m2,30 m2(6x5),22709908,01/10/2025,5,Sổ đỏ,3,"Ngọc Lâm, Phường Ngọc Lâm, Quận Long Biên, Hà Nội",Mua bán nhà đất,https://mogi.vn,0987151746,Gửi tin nhắn,7 tỷ 200 triệu,"Bán Nhà hẻm, ngõ Ngọc Lâm",https://mogi.vn/quan-long-bien/mua-nha-hem-ngo/ban-nha-ngo-24-pho-ngoc-lam-30m2-6t-noi-that-gan-cau-chuong-duong-id22709908
350 m2,"90 m2(4,5x20)",22709907,01/10/2025,5,Sổ đỏ,4,"Ái Mộ, Phường Bồ Đề, Quận Long Biên, Hà Nội",Mua bán nhà đất,https://mogi.vn,0987151746,Gửi tin nhắn,27 tỷ,"Bán Nhà hẻm, ngõ Ái Mộ",https://mogi.vn/quan-long-bien/mua-nha-hem-ngo/ban-dat-90m2-pho-ai-mo-tang-nha-4t-ngo-nong-o-to-gan-benh-vien-tamanh-id22709907
50 m2,50 m2(5x10),22709800,01/10/2025,,Sổ đỏ,,"Việt Hưng, Phường Việt Hưng, Quận Long Biên, Hà Nội",Mua bán nhà đất,https://mogi.vn,0987151746,Gửi tin nhắn,8 tỷ 450 triệu,Bán Đất thổ cư Việt Hưng,https://mogi.vn/quan-long-bien/mua-dat-tho-cu/lo-dat-dep-nhu-to-a4-pho-viet-hung-50m2-7-ty-o-to-1-buoc-mat-pho-id22709800
450 m2,75 m2(6x14),22709900,01/10/2025,6,Sổ đỏ,4,"Kim Quan Thượng, Phường Việt Hưng, Quận Long Biên, Hà Nội",Mua bán nhà đất,https://mogi.vn,0987151746,Gửi tin nhắn,26 tỷ 500 triệu,"Bán Nhà mặt tiền, phố Kim Quan Thượng",https://mogi.vn/quan-long-bien/mua-nha-mat-tien-pho/mat-pho-kim-quan-thuong-75m2-6-tang-mat-tien-dep-kinh-doanh-sam-uat-id22709900
200 m2,42 m2,22705759,01/10/2025,4,Sổ đỏ,3,"Phúc lợi, Phường Phúc Lợi, Quận Long Biên, Hà Nội",Mua bán nhà đất,https://mogi.vn,0987151746,Gửi tin nhắn,6 tỷ 450 triệu,"Bán Nhà hẻm, ngõ Phúc lợi",https://mogi.vn/quan-long-bien/mua-nha-hem-ngo/nha-pho-phuc-loi-42m2-3-phong-ngu-6-45-ty-gan-truong-ptth-phuc-loi-id22705759
